,Name,ORCID,Number of Publications,Publications with Co-Author,Average Publications per Year
0,Negin Alemazkoor,0000-0003-0221-3985,23,23,1.5333333333333334
1,Homa Alemzadeh,0000-0001-5279-842X,26,26,1.7333333333333334
2,Lawrence E. Band,0000-0003-0461-0503,210,197,5.0
3,Laura Barnes,n/a,n/a,n/a,n/a
4,Madhur Behl,0000-0002-5921-0331,75,71,6.25
5,Nicola Bezzo,0000-0001-6627-5048,107,103,8.23076923076923
6,Matthew Bolton,n/a,n/a,n/a,n/a
7,Steven Bowers,n/a,n/a,n/a,n/a
8,Maite Brandt-Pearce,0000-0002-2566-8280,248,229,8.551724137931034
9,Benton H. Calhoun,0000-0002-3770-5050,265,254,12.619047619047619
10,Brad Campbell,n/a,n/a,n/a,n/a
11,Qing Chang,0000-0003-3744-1371,186,156,5.636363636363637
12,T. Donna Chen,0000-0002-7026-3418,20,19,4.0
13,Seokhyun Chung,n/a,n/a,n/a,n/a
14,Haibo Dong,n/a,n/a,n/a,n/a
15,Afsaneh Doryab,0000-0003-1575-385X,73,69,5.214285714285714
16,Lu Feng,n/a,n/a,n/a,n/a
17,Tomonari Furukawa,0000-0003-2811-4221,267,259,4.238095238095238
18,Gregory J. Gerling,0000-0003-3137-3822,122,113,2.3461538461538463
19,Jonathan L. Goodall,0000-0002-1112-4522,175,170,4.861111111111111
20,Devin K. Harris,0000-0003-0086-1073,135,125,2.7551020408163267
21,Seongkook Heo,0000-0003-2004-4812,200,198,8.0
22,Arsalan Heydarian,0000-0001-5972-6947,85,81,5.0
23,Tariq Iqbal,0000-0003-0133-1234,3,3,3.0
24,Barry Johnson,n/a,n/a,n/a,n/a
25,Yen-Ling Kuo,n/a,n/a,n/a,n/a
26,V. Lakshmi,0000-0001-7431-9004,341,313,13.64
27,James H. Lambert,0000-0002-0697-8339,61,48,1.4878048780487805
28,Zongli Lin,0000-0003-1589-1443,532,505,16.12121212121212
29,Felix Xiaozhu Lin,n/a,n/a,n/a,n/a
30,Zhen Liu,0000-0001-8013-3804,52,51,4.0
31,Eric Loth,0000-0003-4113-733X,405,379,3.7155963302752295
32,Osman E. Ozbulut,0000-0003-3836-3416,144,141,9.0
33,Byungkyu Brian Park,0000-0003-4597-6368,106,104,4.608695652173913
34,Daniel Quinn,n/a,n/a,n/a,n/a
35,Sara L. Riggs,0000-0002-0112-9469,45,43,4.5
36,Haiying Shen,n/a,n/a,n/a,n/a
37,Cong Shen,n/a,n/a,n/a,n/a
38,Brian Smith,n/a,n/a,n/a,n/a
39,Stan,0000-0003-0577-9976,322,299,5.03125
40,John A. Stankovic,0000-0001-7307-9395,901,818,21.452380952380953
41,Yixin Sun,0000-0001-6650-4373,39,38,4.875
42,Ye Sun,0000-0003-1086-8017,228,198,7.354838709677419
43,Yuan Tian,0000-0002-6435-564X,204,188,6.181818181818182
44,Shangtong Zhang,n/a,n/a,n/a,n/a
